id;id_provincia;nombre_canton
1;1;CUENCA
2;1;GIRON
3;1;GUALACEO
4;1;NABON
5;1;PAUTE
6;1;PUCARA
7;1;SAN FERNANDO
8;1;SANTA ISABEL
9;1;SIGSIG
10;1;OÑA
11;1;CHORDELEG
12;1;EL PAN
13;1;SEVILLA DE ORO
14;1;GUACHAPALA
15;1;CAMILO PONCE ENRIQUEZ
16;2;GUARANDA
17;2;CHILLANES
18;2;CHIMBO
19;2;ECHEANDIA
20;2;SAN MIGUEL
21;2;CALUMA
22;2;LAS NAVES
23;3;AZOGUES
24;3;BIBLIAN
25;3;CAÑAR
26;3;LA TRONCAL
27;3;EL TAMBO
28;3;DELEG
29;3;SUSCAL
30;4;TULCAN
31;4;BOLIVAR
32;4;ESPEJO
33;4;MIRA
34;4;MONTUFAR
35;4;SAN PEDRO DE HUACA
36;5;LATACUNGA
37;5;LA MANA
38;5;PANGUA
39;5;PUJILI
40;5;SALCEDO
41;5;SAQUISILI
42;5;SIGCHOS
43;6;RIOBAMBA
44;6;ALAUSI
45;6;COLTA
46;6;CHAMBO
47;6;CHUNCHI
48;6;GUAMOTE
49;6;GUANO
50;6;PALLATANGA
51;6;PENIPE
52;6;CUMANDA
53;7;MACHALA
54;7;ARENILLAS
55;7;ATAHUALPA
56;7;BALSAS
57;7;CHILLA
58;7;EL GUABO
59;7;HUAQUILLAS
60;7;MARCABELI
61;7;PASAJE
62;7;PIÑAS
63;7;PORTOVELO
64;7;SANTA ROSA
65;7;ZARUMA
66;7;LAS LAJAS
67;8;ESMERALDAS
68;8;ELOY ALFARO
69;8;MUISNE
70;8;QUININDE
71;8;SAN LORENZO
72;8;ATACAMES
73;8;RIOVERDE
74;8;LA CONCORDIA
75;9;GUAYAQUIL
76;9;ALFREDO BAQUERIZO MORENO (JUJAN)
77;9;BALAO
78;9;BALZAR
79;9;COLIMES
80;9;DAULE
81;9;DURAN
82;9;EL EMPALME
83;9;EL TRIUNFO
84;9;MILAGRO
85;9;NARANJAL
86;9;NARANJITO
87;9;PALESTINA
88;9;PEDRO CARBO
89;9;SAMBORONDON
90;9;SANTA LUCIA
91;9;SALITRE (URBINA JADO)
92;9;SAN JACINTO DE YAGUACHI
93;9;PLAYAS
94;9;SIMON BOLIVAR
95;9;CORONEL MARCELINO MARIDUEÑA
96;9;LOMAS DE SARGENTILLO
97;9;NOBOL
98;9;GENERAL ANTONIO ELIZALDE
99;9;ISIDRO AYORA
100;10;IBARRA
101;10;ANTONIO ANTE
102;10;COTACACHI
103;10;OTAVALO
104;10;PIMAMPIRO
105;10;SAN MIGUEL DE URCUQUI
106;11;LOJA
107;11;CALVAS
108;11;CATAMAYO
109;11;CELICA
110;11;CHAGUARPAMBA
111;11;ESPINDOLA
112;11;GONZANAMA
113;11;MACARA
114;11;PALTAS
115;11;PUYANGO
116;11;SARAGURO
117;11;SOZORANGA
118;11;ZAPOTILLO
119;11;PINDAL
120;11;QUILANGA
121;11;OLMEDO
122;12;BABAHOYO
123;12;BABA
124;12;MONTALVO
125;12;PUEBLOVIEJO
126;12;QUEVEDO
127;12;URDANETA
128;12;VENTANAS
129;12;VINCES
130;12;PALENQUE
131;12;BUENA FE
132;12;VALENCIA
133;12;MOCACHE
134;12;QUINSALOMA
135;13;PORTOVIEJO
136;13;BOLIVAR
137;13;CHONE
138;13;EL CARMEN
139;13;FLAVIO ALFARO
140;13;JIPIJAPA
141;13;JUNIN
142;13;MANTA
143;13;MONTECRISTI
144;13;PAJAN
145;13;PICHINCHA
146;13;ROCAFUERTE
147;13;SANTA ANA
148;13;SUCRE
149;13;TOSAGUA
150;13;24 DE MAYO
151;13;PEDERNALES
152;13;OLMEDO
153;13;PUERTO LOPEZ
154;13;JAMA
155;13;JARAMIJO
156;13;SAN VICENTE
157;14;MORONA
158;14;GUALAQUIZA
159;14;LIMON INDANZA
160;14;PALORA
161;14;SANTIAGO
162;14;SUCUA
163;14;HUAMBOYA
164;14;SAN JUAN BOSCO
165;14;TAISHA
166;14;LOGROÑO
167;14;PABLO SEXTO
168;14;CANTON TIWINTZA
169;15;TENA
170;15;ARCHIDONA
171;15;EL CHACO
172;15;QUIJOS
173;15;CARLOS JULIO AROSEMENA TOLA
174;16;PASTAZA
175;16;MERA
176;16;SANTA CLARA
177;16;ARAJUNO
178;17;QUITO
179;17;CAYAMBE
180;17;MEJIA
181;17;PEDRO MONCAYO
182;17;RUMIÑAHUI
183;17;SAN MIGUEL DE LOS BANCOS
184;17;PEDRO VICENTE MALDONADO
185;17;PUERTO QUITO
186;18;AMBATO
187;18;BAÑOS DE AGUA SANTA
188;18;CEVALLOS
189;18;MOCHA
190;18;PATATE
191;18;QUERO
192;18;SAN PEDRO DE PELILEO
193;18;SANTIAGO DE PILLARO
194;18;TISALEO
195;19;ZAMORA
196;19;CHINCHIPE
197;19;NANGARITZA
198;19;YACUAMBI
199;19;YANTZAZA (YANZATZA)
200;19;EL PANGUI
201;19;CENTINELA DEL CONDOR
202;19;PALANDA
203;19;PAQUISHA
204;20;SAN CRISTOBAL
205;20;ISABELA
206;20;SANTA CRUZ
207;21;LAGO AGRIO
208;21;GONZALO PIZARRO
209;21;PUTUMAYO
210;21;SHUSHUFINDI
211;21;SUCUMBIOS
212;21;CASCALES
213;21;CUYABENO
214;22;ORELLANA
215;22;AGUARICO
216;22;LA JOYA DE LOS SACHAS
217;22;LORETO
218;23;SANTO DOMINGO
219;24;SANTA ELENA
220;24;LA LIBERTAD
221;24;SALINAS
